ceny;Kódy;;;;;;;
23||Státní ceny OPRAVA UCL;65007 	|a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
23||Fučíkův odznak;61124 |a Fučíkův odznak (ocenění);;;;;;;
23||Cena Jana Palacha;61124 |a Cena Jana Palacha (ocenění);;;;;;;
22||Festival spisovatelů (Praha, Česko) OPRAVA UCL;61127 |a Festival spisovatelů Praha |7 kn20051121006;;;;;;;
22||Kongres Mezinárodního sdružení výtvarných kritiků AICA (kongres) (9. : 1966 : Praha, Česko; Bratislava, Slovensko); 61127 |a International Association of Art Critics. |b Congress |n (9. : |d 1966 : |c Praha, Česko; |c Bratislava, Slovensko) |7 ko20181017984;;;;;;;
22||Cena Knižního klubu;61124 |a Literární cena Knižního klubu (soutěž);;;;;;;
22||Cena Vladislava Vančury;61124 |a Cena Vladislava Vančury (ocenění);;;;;;;
22||Templetonova cena;61124 |a Templetonova cena (ocenění);;;;;;;
22||Magnesia Litera (akce) (2019 : Praha, Česko);61127 |a Magnesia Litera (akce) |d (2019 : |c Praha, Česko) |7 ko20191047235;;;;;;;
21||Ceny divadelní kritiky;61124 |a Ceny divadelní kritiky (soutěž);;;;;;;
21||Bezručova Opava OPRAVA UCL;61127 |a Bezručova Opava (festival) |7 ko2005304095;;;;;;;
21||Státní cena za literaturu (literární cena) OPRAVA UCL;65007 |a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
21||Ustavující sjezd Svazu československých spisovatelů (1977 : Praha, Česko) OPRAVA UCL;61124|a Svaz československých spisovatelů. |b Ustavující sjezd |d (1977 : |c Praha, Česko) ;;;;;;;
21||Ustavující sjezd Svazu českých spisovatelů (sjezd) (1972 : Dobříš, Česko) OPRAVA UCL;61124|a Svaz českých spisovatelů. |b Ustavující sjezd |d (1972 : |c Dobříš, Česko) ;;;;;;;
21||Cena Ministerstva kultury;61124 |a Cena Ministerstva kultury (ocenění);;;;;;;
21||Velký knižní čtvrtek;61124  |a Velký knižní čtvrtek (projekt);;;;;;;
21||Cena Muriel;61124  |a Cena Muriel (soutěž);;;;;;;
21||Týden české knihy;61124 |a Týden české knihy (projekt);;;;;;;
21||Poezie bez hranic (festival) (2002 : Olomouc, Česko) OPRAVA UCL;61124|a Poezie bez hranic (festival) |d (2002 : |c Olomouc, Česko);;;;;;;
21||Cena Antonína Zápotockého OPRAVA UCL;61124 |a Cena Antonína Zápotockého (ocenění);;;;;;;
21||Cena Egona Hostovského;61124 |a Cena Egona Hostovského (ocenění);;;;;;;
21||Sjezd socialistické kultury (1959 : Praha, Česko);61124|a Sjezd socialistické kultury |d (1959 : |c Praha, Česko) ;;;;;;;
20||Státní cena za překladatelské dílo;65007  	|a Státní cena za překladatelské dílo (ocenění) |7 ph891869;;;;;;;
20||Ortenova Kutná Hora OPRAVA UCL;61127 |a Ortenova Kutná Hora (festival) |7 kn20040601028;;;;;;;
20||Cena PEN klubu;61127 |a Cena Karla Čapka (soutěž) |7 kn20111130001;???;;;;;;
20||Pelicanus vivificans. Pocta žáků Alexandru Stichovi (kolokvium) (2013 : Praha, Česko);;;;;;;;
19||Magnesia Litera (literární soutěž) OPRAVA UCL;61127|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
19||Sjezd Svazu českých spisovatelů (5. : 1969 : Praha, Česko) OPRAVA UCL;61124 |a Svaz československých spisovatelů. |b Sjezd |n (5. : |d 1969 : |c Praha, Česko) ;;;;;;;
19||Literární cena Knižního klubu;61124 |a Literární cena Knižního klubu (soutěž);;;;;;;
19||Mezinárodní symposium o próze (sympozium) (1963 : Praha, Česko) OPRAVA UCL;61124  	|a Mezinárodní symposium o próze (sympozium) |d (1963 : |c Praha, Česko);;;;;;;
19||Cena Ason-klubu;61124 |a Cena Ason-klubu (soutěž);;;;;;;
19||Největší Čech (anketa) (2005);;;;;;;;
19||Poezie bez hranic (festival) (2004 : Olomouc, Česko) OPRAVA UCL;61127 	|a Poezie bez hranic (festival) |d (2004 : |c Olomouc, Česko) |7 kn20050630002;;;;;;;
19||Celostátní konference o české dětské literatuře (1958 : Praha, Česko);;;;;;;;
18||Kniha roku 2010 (anketa);;NECHAT, VĚTŠINOVĚ ZAPSANÉ S ROKEM, AUTORITU MÁ JEN TOTO  	|a Kniha roku (anketa) |7 ko2006341787;;;;;;
18||Na paměť Josefa Dobrovského (1953, Praha, Česko);;;;;;;;
18||Pragmatika vyjadrovacích prostriedkov umenia (konference) (2000 : Nitra, Slovensko) OPRAVA UCL;61124  	|a Pragmatika vyjadrovacích prostriedkov umenia (konference) |d (2000 : |c Nitra, Slovensko);;;;;;;
18||Cena Česká kniha;;;;;;;;
18||Květnová knižní Plzeň OPRAVA UCL;61027  	|a Květnová knižní Plzeň (výstava) |7 kn20110725008;;;;;;;
17||Knihománie (akce);;;;;;;;
17||Cena Františka Langera OPRAVA UCL;61124|a Cena Františka Langera (soutěž);;;;;;;
17||Cena Marie Majerové;61124|a Cena Marie Majerové (soutěž);;;;;;;
17||Svět knihy (veletrh) (2017 : Praha, Česko);61127 |a Svět knihy (veletrh) |d (2017 : |c Praha, Česko) |7 ko2017956995;;;;;;;
17||Národní knižní veletrh (veletrh) (1970 : Praha, Česko);;;;;;;;
17||Svět knihy (veletrh) (2011 : Praha, Česko) OPRAVA UCL;61127  	|a Svět knihy (veletrh) |d (2011 : |c Praha, Česko) |7 kn20110325006;;;;;;;
17||Podzimní knižní trh (Havlíčkův Brod, Česko) OPRAVA UCL;61127  	|a Podzimní knižní trh |7 olak2002158662;;;;;;;
17||Magnesia Litera (akce) (2017 : Praha, Česko); 61127 |a Magnesia Litera (akce) |d (2017 : |c Praha, Česko) |7 av2018995587;;;;;;;
17||Cena Alfréda Radoka OPRAVA UCL;61127 |a Cena Alfréda Radoka (akce) |7 xx0160140;;;;;;;
17||Přínos Zdeňka Nejedlého české a slovenské kultuře (mezinárodní konference) (1978 : Liblice, Česko) OPRAVA UCL;61124 |a Přínos Zdeňka Nejedlého české a slovenské kultuře (konference) |d (1978 : |c Liblice, Česko);;;;;;;
16||Cena Nadace Český literární fond;61027 	|a Nadace Český literární fond |7 ko2003183640 |2 czenas;????;;;;;;
16||Komenský a svět dítěte (6. uherskobrodské kolokvium) (1979 : Uherský Brod, Česko);61124 |a Komenský a svět dítěte (kolokvium) |n (8. : |d 1979 : |c Uherský Brod, Česko);;;;;;;
16||Zasedání edičně textologické komise (1966 : Praha, Česko) OPRAVA UCL;61124 |a Zasedání edičně textologické komise |d (1966 : |c Praha : Česko);;;;;;;
16||Hledá se autor bestselleru (literární soutěž);;;;;;;;
16||Cena Erasma Rotterdamského;61124 |a Cena Erasma Rotterdamského (ocenění);v AUT z letoška návrh na autoritu, ale vysoké riziko, že ji AUT neakceptuje: 65007   |a Erasmova cena (ocenění) |7 ph1105806. Zatím nechat naši verzi bez napojení;;;;;;
16||Kniha roku 2004 (anketa);;;;;;;;
16||Dny české a slovenské poezie OPRAVA UCL;61124 |a Dny české a slovenské poezie (akce);;;;;;;
16||Celostátní konference Svazu československých spisovatelů (1. : 1954 : Praha, Česko);;;;;;;;
16||Cena F.X. Šaldy;61124 |a Cena F. X. Šaldy (ocenění);;;;;;;
16||Wolkrova Polianka OPRAVA UCL;61124 |a Wolkrova Polianka (soutěž);;;;;;;
16||Kolokvium o periodizaci literatury (kolokvium) (1966 : Praha, Česko);;;;;;;;
16||Anticharta;;;;;;;;
16||Karel Čapek - spisovatel a demokrat (konference) (2000 : Praha, Česko);;;;;;;;
15||Jiráskův fond;;;;;;;;
15||Antika a dnešek (konference) (1966 : Brno, Česko);;;;;;;;
15||Velký knižní čtvrtek (2015 : Česko);;;;;;;;
15||Drážďanská cena lyriky;61124  |a Drážďanská cena lyriky (akce);nebo 61124 |a Dresdner Lyrikpreis ????;;;;;;
15||Cena Vladimíra Macury;61124 |a Cena Vladimíra Macury (akce);;;;;;;
15||Mezinárodní sjezd slavistů (sjezd) (1968 : Praha, Česko) OPRAVA UCL;61127  	|a Mezinárodní sjezd slavistů |n (6. : |d 1968 : |c Praha, Česko) |7 kn20051122009;;;;;;;
15||Cena Leopolda Vrly;61124 |a Cena Leopolda Vrly (akce);;;;;;;
14||Setkání představitelů spisovatelských svazů socialistických zemí (konference) (11. : 1974 : Praha, Česko) OPRAVA UCL;61124 |a Setkání představitelů spisovatelských svazů socialistických zemí (konference) |n (11. : |d 1974 : |c Praha, Česko) ;;;;;;;
14||Problematika vydávání literárních památek 16. a 17. století - Politický vývoj v Evropě ve 2. polovině 17. století a relevace Mikuláše Drabíka a Komenského vztah k nim (5. uherskobrodské kolokvium) (1978 : Uherský Brod, Česko) OPRAVA UCL;61124 |a Problematika vydávání literárních památek 16. a 17. století - Politický vývoj v Evropě ve 2. polovině 17. století a relevace Mikuláše Drabíka a Komenského vztah k nim (kolokvium) |n (5. : |d 1978 : |c Uherský Brod, Česko);;;;;;;
14||Leipziger Buchmesse (2019 : Lipsko, Německo);61127 |a Leipziger Buchmesse |d (2019 : |c Lipsko, Německo) |7 ko20191039968;;;;;;;
14||Měsíc autorského čtení (festival) (2009 : Brno, Česko) OPRAVA UCL;61127  	|a Měsíc autorského čtení (festival) |n (10. : |d 2009 : |c Brno, Česko) |7 kn20090723023;;;;;;;
14||Cena města Brna;61124  |a Cena města Brna (akce);;;;;;;
14||Povídka roku 2007 (literární soutěž) OPRAVA UCL;61124 |a Povídka roku 2007 (literární soutěž);;;;;;;
14||Měsíc autorského čtení (20. : 2019 : Brno, Česko;61124 |a Měsíc autorského čtení (festival) |n (20. : |d 2019 : |c Brno, Česko);;;;;;;
13||Poezie bez hranic (festival) (2003 : Olomouc, Česko) OPRAVA UCL;61124 	|a Poezie bez hranic (festival) |d (2003 : |c Olomouc, Česko);;;;;;;
13||Kultura českých enkláv ve světě (konference) (1998 : České Budějovice, Česko) OPRAVA UCL;61124 |a Kultura českých enkláv ve světě (konference) |d (1998 : |c České Budějovice, Česko) ;;;;;;;
13||Cena Jana Skácela;61124 |a Cena Jana Skácela (ocenění);;;;;;;
13||Festival spisovatelů (2000 : Praha, Česko) OPRAVA UCL;61127 |a Festival spisovatelů Praha |n (10. : |d 2000 : |c Praha, Česko) |7 kn20010724205;;;;;;;
13||Svět knihy (veletrh) (2018 : Praha, Česko);61127 |a Svět knihy (veletrh) |d (2018 : |c Praha, Česko) |7 ko2018996141;;;;;;;
13||Cena Jana Zahradníčka;61124 |a Cena Jana Zahradníčka (ocenění);;;;;;;
13||Měsíc autorského čtení (festival) (2016 : Brno, Česko); 61127 |a Měsíc autorského čtení (festival) |n (17. : |d 2016 : |c Brno, Česko) |7 ko2016923678;;;;;;;
13||Státní cena OPRAVA UCL;65007 |a Státní cena za literaturu (ocenění) |7 ph891868;;;;;;;
13||Svět knihy (veletrh) OPRAVA UCL;61127 |a Svět knihy (veletrh : Praha, Česko) |7 kn20040606002;;;;;;;
13||Komu asi patřila? Knihy a jejich lidé - sběratelé i nepřátelé (výstava) (2015-2016 : Praha, Česko);;;;;;;;
13||Festival spisovatelů Praha (11. : 2001 : Praha, Česko) OPRAVA UCL;61127 |a Festival spisovatelů Praha |n (11. : |d 2001 : |c Praha, Česko) |7 ko2004252600;;;;;;;
13||Cena Františka Kriegla;61124 |a Cena Františka Kriegla (ocenění);;;;;;;
13||Česko-slovenské (literárněvědné) konfrontace (9. : 2010 : Olomouc, Česko);;;;;;;;
13||Sympozium o marxistické literární kritice (1965 : Praha, Česko) OPRAVA UCL;61124 |a Sympozium o marxistické literární kritice |d (1965 : |c Praha, Česko);;;;;;;
13||V barvách chorobných. Idea dekadence a umění v českých zemích 1880-1914 (výstava) (2006 : Praha, Česko);;;;;;;;
13||Umění bojující (výstava) (1958 : Praha, Česko);;;;;;;;
13||Širým světem (výstava) (2019 : Praha, Česko);;;;;;;;
13||Sjezd KSČ (14.) OPRAVA UCL;61127  	|a Komunistická strana Československa. |b Sjezd |n (14. : |d 1971 : |c Praha, Česko) |7 ko2004263694;;;;;;;
13||Svět knihy (veletrh) (2003 : Praha, Česko) OPRAVA UCL;61127  	|a Svět knihy (veletrh) |d (2013 : |c Praha, Česko) |7 kn20130419013;;;;;;;
13||Svět knihy (veletrh) (2007 : Praha, Česko) OPRAVA UCL;61127 |a Svět knihy (veletrh) |d (2007 : |c Praha, Česko) |7 kn20070525009;;;;;;;
13||Vědecká konference k 95. výročí narození Z. Nejedlého (konference) (1973 : Praha, Česko) OPRAVA UCL;61124 |a Vědecká konference k 95. výročí narození Z. Nejedlého (konference) |d (1973 : |c Praha, Česko);;;;;;;
13||Povídka roku 2006 (literární soutěž) (2006) OPRAVA UCL;61124 |a Povídka roku 2006 (literární soutěž);;;;;;;
12||Cena Jiřího Levého;61127  	|a Překladatelská soutěž Jiřího Levého |7 av2016918311;???;;;;;;
12||Festival spisovatelů Praha (festival) (2008) OPRAVA UCL;61127  	|a Festival spisovatelů Praha |n (18. : |d 2008 : |c Praha, Česko) |7 kn20090303002;;;;;;;
12||Povídka roku 2008 (literární soutěž) OPRAVA UCL;61124 |a Povídka roku 2008 (literární soutěž);;;;;;;
12||Kniha roku 2011 (anketa);;;;;;;;
12||Průniky české a slovenské literatury po rozdělení federace v roce 1992 (2016 : Praha, Česko);;;;;;;;
12||Festival spisovatelů Praha (festival) (2005) OPRAVA UCL;61127  	|a Festival spisovatelů Praha |n (15. : |d 2005 : |c Praha, Česko) |7 kn20050523054;;;;;;;
12||Setkání mladých lingvistů (9. : 2008 : Olomouc, Česko) OPRAVA UCL;61127  	 |a Setkání mladých lingvistů |7 ko2008481047;61124  	|a Interkulturní komunikace a lingvistika |n (9. : |d 2008 : |c Olomouc, Česko);;;;;;
