BÍLEK, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=349;* 5. 3. 1950;Vyškov;;
BÍLEK, Petr A.;http://slovnikceskeliteratury.cz/showContent.jsp?docId=350;* 6. 4. 1962;Vlašim;;
BINAR, Ivan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1210;* 25. 6. 1942;Boskovice;;
BINAR, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1211;* 6. 10. 1941;Velké Meziříčí;† 13. 1. 2016;Praha
BÍTOV;http://slovnikceskeliteratury.cz/showContent.jsp?docId=73;1991 - 1993;;;
BLÁHA, Zdeněk;http://slovnikceskeliteratury.cz/showContent.jsp?docId=252;* 9. 5. 1925;Praha;† 31. 7. 1978;Praha
BLAHYNKA, Milan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=351;* 29. 8. 1933;Ružomberok (Slovensko);;
BLATNÝ, Ivan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=5;* 21. 12. 1919;Brno;† 5. 8. 1990;Colchester (Velká Británie)
BLAŽEK, Vratislav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=8;* 31. 8. 1925;Náchod;† 28. 4. 1973;Mnichov (SRN)
BLAŽÍČEK, Přemysl;http://slovnikceskeliteratury.cz/showContent.jsp?docId=24;* 16. 4. 1932;Matějov (u Žďáru nad Sázavou);† 26. 4. 2002;Praha
BLAŽÍČKOVÁ, Anna;http://slovnikceskeliteratury.cz/showContent.jsp?docId=25;* 24. 4. 1933;Vodňany;;
BLOK;http://slovnikceskeliteratury.cz/showContent.jsp?docId=74;1946 - 1949;;;
BLOK;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1808;1950 - 1957; 1957 - 1997;;;
BOČEK, Jaroslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1212;* 25. 5. 1932;Úlovice (u Loun);† 15. 3. 2003;Praha
BODLÁK, Karel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=912;* 3. 11. 1903;Soběslav;† 1. 2. 1989;Praha
BOHEMICA VIENNENSIA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1696;1954 - 1957;;;
BOCHOŘÁK, Klement;http://slovnikceskeliteratury.cz/showContent.jsp?docId=913;* 18. 1. 1910;Kunštát;† 10. 8. 1981;Brno
BOJAR, Pavel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=914;* 18. 5. 1919;Strakonice;† 16. 11. 1999;Praha
BONDY, Egon;http://slovnikceskeliteratury.cz/showContent.jsp?docId=915;* 20. 1. 1930;Praha;† 9. 4. 2007;Bratislava
BONHARDOVÁ, Nina;http://slovnikceskeliteratury.cz/showContent.jsp?docId=290;* 6. 3. 1907;Żolynia (Halič, dnes Polsko);† 30. 6. 1981;Praha
BOR, Josef;http://slovnikceskeliteratury.cz/showContent.jsp?docId=291;* 2. 7. 1906;Ostrava;† 31. 1. 1979;Praha
BORECKÝ, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1644;* 6. 12. 1941;Praha;† 6. 2. 2009;Praha
BORKOVEC, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=10;* 17. 4. 1970;Louňovice pod Blaníkem;;
BORSKÁ, Ilona;http://slovnikceskeliteratury.cz/showContent.jsp?docId=675;* 9. 11. 1928;Praha;† 27. 12. 2007;Praha
BOŘKOVCOVÁ, Hana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=676;* 4. 6. 1927;Praha;† 25. 2. 2009;Praha
