Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Biskupice (Třebíč);2;Biskupice-Pulkov (Česko)$$7ge346817;;;;Třebíč;Biskupice;Biskupice-Pulkov;NEPRAVDA
Blatnice (Hodonín);3;Blatnice pod Svatým Antonínkem (Česko)$$7ge421203;;;;Hodonín;Blatnice;Blatnice pod Svatým Antonínkem;NEPRAVDA
Bodenbach (Děčín);1;Podmokly (Děčín, Česko)$$7ge360018;;;;Děčín;Bodenbach;Podmokly;NEPRAVDA
Bohdaneč (Pardubice);9;Lázně Bohdaneč (Česko)$$7ge129914;;;;Pardubice;Bohdaneč;Lázně Bohdaneč;NEPRAVDA
Böhm.Aicha (Liberec);1;Český Dub (Česko)$$7ge131711;;;;Liberec;Böhm.Aicha;Český Dub;NEPRAVDA
Böhm.Leipa (Česká Lípa);1;Česká Lípa (Česko)$$7ge131692;;;;Česká Lípa;Böhm.Leipa;Česká Lípa;NEPRAVDA
Böhm.-Leipa (Česká Lípa);4;Česká Lípa (Česko)$$7ge131692;;;;Česká Lípa;Böhm.-Leipa;Česká Lípa;NEPRAVDA
Böhm.-Röhren (Přerov);1;České Žleby (Stožec, Česko)$$7ge337647;;;;Přerov;Böhm.-Röhren;České Žleby;NEPRAVDA
Böhmischdorf (Šumperk);1;Česká Ves (Jeseník, Česko)$$7ge132349;;;;Šumperk;Böhmischdorf;Česká Ves;NEPRAVDA
Böhmisch-Zwickau (Česká Lípa);1;Cvikov (Česko)$$7ge128981;;;;Česká Lípa;Böhmisch-Zwickau;Cvikov;NEPRAVDA
Bohuslavice (Zlín);4;Bohuslavice u Zlína (Česko)$$7ge128777;;;;Zlín;Bohuslavice;Bohuslavice u Zlína;NEPRAVDA
Bochnia u Krakova (Polsko);1;Bochnia (Polsko)$$7ge168354;;;;Polsko;Bochnia u Krakova;Bochnia;NEPRAVDA
Boloňa (Itálie);1;Bologna (Itálie)$$7ge164666;;;;Itálie;Boloňa;Bologna;NEPRAVDA
Bor u České Lípy (Česká Lípa);1;Nový Bor (Česko)$$7ge130239;;;;Česká Lípa;Bor u České Lípy;Nový Bor;NEPRAVDA
Bořečnice (Čížová-B.) (Písek);2;Borečnice (Čížová, Česko)$$7ge776924;;;;Čížová-B.;Bořečnice;Borečnice;NEPRAVDA
Boskov (Bozkov) (Semily);2;Bozkov (Česko)$$7ge257205;;;;Bozkov;Boskov;Bozkov;NEPRAVDA
Boskowitz (Blansko);2;Boskovice (Česko)$$7ge128800;;;;Blansko;Boskowitz;Boskovice;NEPRAVDA
Bošovice u Ždánic (Vyškov);2;Bošovice (Vyškov, Česko)$$7ge360280;;;;Vyškov;Bošovice u Ždánic;Bošovice;NEPRAVDA
Botenwald (Nový Jičín);1;Butovice (Studénka, Nový Jičín, Česko)$$7ge915926;;;;Nový Jičín;Botenwald;Butovice;NEPRAVDA
Brandenburg (Spolková republ. Německo);3;Braniborsko (Německo)$$7ge128413;;;;Spolková republ. Německo;Brandenburg;Braniborsko;NEPRAVDA
Brandýsek-Olšany (Kladno);1;Olšany (Brandýsek, Česko)$$7ge377857;;;;Kladno;Brandýsek-Olšany;Olšany;NEPRAVDA
Branky na Moravě (Vsetín);3;Branky (Česko)$$7xx0047571;xx;;;Vsetín;Branky na Moravě;Branky;NEPRAVDA
Branná (Horní B.) u Jilemnice (Semily);1;Horní Branná (Semily, Česko)$$7xx0044466;xx;;;Horní B.;Branná;Horní Branná;NEPRAVDA
Branná (Semily);1;Horní Branná (Semily, Česko)$$7xx0044466;xx;;;Semily;Branná;Horní Branná;NEPRAVDA
Branná u Jilemnice v dalších letech Horní Branná (Semily);1;Horní Branná (Semily, Česko)$$7xx0044466;xx;;;Semily;Branná u Jilemnice v dalších letech Horní Branná;Horní Branná;NEPRAVDA
Bratislava asi (Bratislava);1;Bratislava (Slovensko)$$7ge128816;;;;Bratislava;Bratislava asi;Bratislava;NEPRAVDA
Bratkovice (Příbram);1;Bratislava (Slovensko)$$7ge128816;;;;Příbram;Bratkovice;Bratislava;NEPRAVDA
Braunau (Náchod);3;Broumov (Náchod, Česko)$$7ge128832;;;;Náchod;Braunau;Broumov;NEPRAVDA
Braunseifen (Bruntál);;Ryžoviště (Bruntál, Česko)$$7ge675152;;;;Bruntál;Braunseifen;Ryžoviště;NEPRAVDA
Breitenbach (Karlovy Vary);1;Potůčky (Karlovy Vary, Česko)$$7ge351046;;;;Karlovy Vary;Breitenbach;Potůčky;NEPRAVDA
Bremen (Spolková republ. Německo);3;Brémy (Německo)$$7ge128844;;;;Spolková republ. Německo;Bremen;Brémy;NEPRAVDA
Breslau (Polsko);1;Vratislav (Polsko)$$7ge131413;;;;Polsko;Breslau;Vratislav;NEPRAVDA
Brettgrund bei Schatzlar (Trutnov);1;Prkenný Důl (Žacléř, Česko)$$7ge494225;;;;Trutnov;Brettgrund bei Schatzlar;Prkenný Důl;NEPRAVDA
Brezno nad Hronom (Banská Bystrica);1;Brezno (Slovensko)$$7ge128820;;;;Banská Bystrica;Brezno nad Hronom;Brezno;NEPRAVDA
Brezová (Senica);2;Brezová pod Bradlom (Slovensko)$$7ge128821;;;;Senica;Brezová;Brezová pod Bradlom;NEPRAVDA
Brlohy (Český Krumlov);1;Brloh (Český Krumlov, Česko)$$7ge307063;;;;Český Krumlov;Brlohy;Brloh;NEPRAVDA
Brno-Bohunice (Brno);1;Bohunice (Brno, Česko)$$7ge137240;;;;Brno;Brno-Bohunice;Bohunice;NEPRAVDA
