Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Hudson (USA);1;;;;;USA;Hudson;#HODNOTA!;#HODNOTA!
Hukovice (Nový Jičín);1;;;;;Nový Jičín;Hukovice;#HODNOTA!;#HODNOTA!
Hunkovice (Brno);1;;;;;Brno;Hunkovice;#HODNOTA!;#HODNOTA!
Hurbanovo (Komárno);1;;;;;Komárno;Hurbanovo;#HODNOTA!;#HODNOTA!
Huštěnovice (Uherské Hradiště);4;;;;;Uherské Hradiště;Huštěnovice;#HODNOTA!;#HODNOTA!
Huta Pokój (Polsko);1;;;;;Polsko;Huta Pokój;#HODNOTA!;#HODNOTA!
Hutavoivozi (Rumunsko);1;;;;;Rumunsko;Hutavoivozi;#HODNOTA!;#HODNOTA!
Hutě pod Třemšínem (Příbram);1;;;;;Příbram;Hutě pod Třemšínem;#HODNOTA!;#HODNOTA!
Huťský dvůr (Český Krumlov);1;;;;;Český Krumlov;Huťský dvůr;#HODNOTA!;#HODNOTA!
Hvězda (Náchod);1;;;;;Náchod;Hvězda;#HODNOTA!;#HODNOTA!
Hvozd (Plzeň sever);1;;;;;Plzeň sever;Hvozd;#HODNOTA!;#HODNOTA!
Hvozdec (Beroun);1;;;;;Beroun;Hvozdec;#HODNOTA!;#HODNOTA!
Hvozdná (Zlín);1;;;;;Zlín;Hvozdná;#HODNOTA!;#HODNOTA!
Hvožďany (Strakonice);1;;;;;Strakonice;Hvožďany;#HODNOTA!;#HODNOTA!
Hybe (Slovensko);1;;;;;Slovensko;Hybe;#HODNOTA!;#HODNOTA!
Hylváty (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Hylváty;#HODNOTA!;#HODNOTA!
Hynkov (Olomouc);1;;;;;Olomouc;Hynkov;#HODNOTA!;#HODNOTA!
Hyršperk (Bruntál);1;;;;;Bruntál;Hyršperk;#HODNOTA!;#HODNOTA!
Chabenec (Slovensko);1;;;;;Slovensko;Chabenec;#HODNOTA!;#HODNOTA!
Chabeřice (Kutná Hora);1;;;;;Kutná Hora;Chabeřice;#HODNOTA!;#HODNOTA!
Chaby (Praha - západ);1;;;;;Praha - západ;Chaby;#HODNOTA!;#HODNOTA!
Chalaň (Rusko);1;;;;;Rusko;Chalaň;#HODNOTA!;#HODNOTA!
Chaloupky (Domažlice);1;;;;;Domažlice;Chaloupky;#HODNOTA!;#HODNOTA!
Chalupy (Domažlice);1;;;;;Domažlice;Chalupy;#HODNOTA!;#HODNOTA!
Cham (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Cham;#HODNOTA!;#HODNOTA!
Champagnole (Francie);1;;;;;Francie;Champagnole;#HODNOTA!;#HODNOTA!
Charbin (Čínská lid.republ.);1;;;;;Čínská lid.republ.;Charbin;#HODNOTA!;#HODNOTA!
Charlottenville (USA);1;;;;;USA;Charlottenville;#HODNOTA!;#HODNOTA!
Charlottesville (USA);1;;;;;USA;Charlottesville;#HODNOTA!;#HODNOTA!
Chase City (USA);1;;;;;USA;Chase City;#HODNOTA!;#HODNOTA!
Chateauroux (Francie);1;;;;;Francie;Chateauroux;#HODNOTA!;#HODNOTA!
Chattanooga (USA);1;;;;;USA;Chattanooga;#HODNOTA!;#HODNOTA!
Chelčice-Záhoří (Strakonice);1;;;;;Strakonice;Chelčice-Záhoří;#HODNOTA!;#HODNOTA!
Chigago (USA);1;;;;;USA;Chigago;#HODNOTA!;#HODNOTA!
Chichester (Velká Británie);1;;;;;Velká Británie;Chichester;#HODNOTA!;#HODNOTA!
Chilandar na Svatého Hoře Athos (Řecko);1;;;;;Řecko;Chilandar na Svatého Hoře Athos;#HODNOTA!;#HODNOTA!
Chile (Chile);2;Chile$$7ge128927;;;;Chile;Chile;#HODNOTA!;#HODNOTA!
Chlebičov (Opava);1;;;;;Opava;Chlebičov;#HODNOTA!;#HODNOTA!
Chleby (Nymburk);1;;;;;Nymburk;Chleby;#HODNOTA!;#HODNOTA!
Chlístovice (Kutná Hora);1;;;;;Kutná Hora;Chlístovice;#HODNOTA!;#HODNOTA!
Chlum (Blansko);2;;;;;Blansko;Chlum;#HODNOTA!;#HODNOTA!
Chlum (Chrudim);1;;;;;Chrudim;Chlum;#HODNOTA!;#HODNOTA!
Chlumany (Prachatice);1;;;;;Prachatice;Chlumany;#HODNOTA!;#HODNOTA!
Chlumčany (Louny);1;;;;;Louny;Chlumčany;#HODNOTA!;#HODNOTA!
Chlumětín (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Chlumětín;#HODNOTA!;#HODNOTA!
Chlumín (Mělník);1;;;;;Mělník;Chlumín;#HODNOTA!;#HODNOTA!
Chmelná (Benešov);2;;;;;Benešov;Chmelná;#HODNOTA!;#HODNOTA!
Chobot (Nesperská Lhota-Ch.) (Benešov);1;;;;;Nesperská Lhota-Ch.;Chobot;#HODNOTA!;#HODNOTA!
Choceň (Kolín);1;;;;;Kolín;Choceň;#HODNOTA!;#HODNOTA!
Chodov (Karlovy Vary);3;;není zřejmé, jestli nejde o Chodov na Sokolovsku (je ke KV mnohem blíže, než Chodov v okr. Karlovy Vary;;;Karlovy Vary;Chodov;#HODNOTA!;#HODNOTA!
Chodovice (Jičín);1;;;;;Jičín;Chodovice;#HODNOTA!;#HODNOTA!
Chomoutov (Olomouc);1;;;;;Olomouc;Chomoutov;#HODNOTA!;#HODNOTA!
Chornice (Svitavy);1;;;;;Svitavy;Chornice;#HODNOTA!;#HODNOTA!
Choroušky (Mělník);1;;;;;Mělník;Choroušky;#HODNOTA!;#HODNOTA!
Chorušice (Mělník);1;;;;;Mělník;Chorušice;#HODNOTA!;#HODNOTA!
Chorvatsko (Chorvatsko);5;Chorvatsko$$7ge128941;;;;Chorvatsko;Chorvatsko;#HODNOTA!;#HODNOTA!
Chorvatsko (Jugoslávie);6;Chorvatsko$$7ge128941;;;;Jugoslávie;Chorvatsko;#HODNOTA!;#HODNOTA!
Chořelice (Litovel-Ch.) (Olomouc);1;;;;;Litovel-Ch.;Chořelice;#HODNOTA!;#HODNOTA!
Chotěborky (Trutnov);1;;;;;Trutnov;Chotěborky;#HODNOTA!;#HODNOTA!
Chotiměř (Domažlice);1;;;;;Domažlice;Chotiměř;#HODNOTA!;#HODNOTA!
Chotoměřice (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Chotoměřice;#HODNOTA!;#HODNOTA!
Chotouchov (Kolín);1;;;;;Kolín;Chotouchov;#HODNOTA!;#HODNOTA!
Chotoviny (Tábor);1;;;;;Tábor;Chotoviny;#HODNOTA!;#HODNOTA!
Chotutice (Kolín);1;;;;;Kolín;Chotutice;#HODNOTA!;#HODNOTA!
Chotýčany (České Budějovice);1;;;;;České Budějovice;Chotýčany;#HODNOTA!;#HODNOTA!
Choustník (Tábor);1;;;;;Tábor;Choustník;#HODNOTA!;#HODNOTA!
Chramosty (Příbram);1;;;;;Příbram;Chramosty;#HODNOTA!;#HODNOTA!
Chrást nad Sázavou (Benešov);1;;;;;Benešov;Chrást nad Sázavou;#HODNOTA!;#HODNOTA!
Chrášťovice (Benešov);1;;;;;Benešov;Chrášťovice;#HODNOTA!;#HODNOTA!
Chrbonín (Tábor);1;;;;;Tábor;Chrbonín;#HODNOTA!;#HODNOTA!
Chrises (Šumperk);1;;;;;Šumperk;Chrises;#HODNOTA!;#HODNOTA!
Chroustov (Nymburk);1;;;;;Nymburk;Chroustov;#HODNOTA!;#HODNOTA!
Chroustov (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Chroustov;#HODNOTA!;#HODNOTA!
Chrudichromy (Blansko);2;;;;;Blansko;Chrudichromy;#HODNOTA!;#HODNOTA!
Chudčice (Brno venkov);1;;;;;Brno venkov;Chudčice;#HODNOTA!;#HODNOTA!
Chudobín (Šumperk);1;;;;;Šumperk;Chudobín;#HODNOTA!;#HODNOTA!
Chudonice (Hradec Králové);1;;;;;Hradec Králové;Chudonice;#HODNOTA!;#HODNOTA!
Chuchelna (Semily);1;;;;;Semily;Chuchelna;#HODNOTA!;#HODNOTA!
Chuchle (Praha);1;;;;;Praha;Chuchle;#HODNOTA!;#HODNOTA!
Chur (Švýcarsko);1;;;;;Švýcarsko;Chur;#HODNOTA!;#HODNOTA!
Chust (SSSR);1;;;;;SSSR;Chust;#HODNOTA!;#HODNOTA!
Chvalčov (Kroměříž);1;;;;;Kroměříž;Chvalčov;#HODNOTA!;#HODNOTA!
Chvaletice (Písek);1;;;;;Písek;Chvaletice;#HODNOTA!;#HODNOTA!
Chvalín (Litoměřice);1;;;;;Litoměřice;Chvalín;#HODNOTA!;#HODNOTA!
Chvalín-Nové Dvory (Litoměřice);1;;;;;Litoměřice;Chvalín-Nové Dvory;#HODNOTA!;#HODNOTA!
Chvalovice (Nymburk);1;;;;;Nymburk;Chvalovice;#HODNOTA!;#HODNOTA!
Chvaly (Praha - východ);2;;;;;Praha - východ;Chvaly;#HODNOTA!;#HODNOTA!
Chvojnov (Pelhřimov);1;;;;;Pelhřimov;Chvojnov;#HODNOTA!;#HODNOTA!
Chyňava (České Budějovice);1;;;;;České Budějovice;Chyňava;#HODNOTA!;#HODNOTA!
Chýně (Praha - západ);1;;;;;Praha - západ;Chýně;#HODNOTA!;#HODNOTA!
Chynín (Plzeň jih);1;;;;;Plzeň jih;Chynín;#HODNOTA!;#HODNOTA!
Chyšky (Písek);1;;;;;Písek;Chyšky;#HODNOTA!;#HODNOTA!
Ichtiman (Bulharsko);1;;;;;Bulharsko;Ichtiman;#HODNOTA!;#HODNOTA!
Illinois (USA);1;;;;;USA;Illinois;#HODNOTA!;#HODNOTA!
Ilsenburg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Ilsenburg;#HODNOTA!;#HODNOTA!
Imel' (Komárno);1;;;;;Komárno;Imel';#HODNOTA!;#HODNOTA!
Imst (Rakousko);1;;;;;Rakousko;Imst;#HODNOTA!;#HODNOTA!
Indice (Kutná Hora);1;;;;;Kutná Hora;Indice;#HODNOTA!;#HODNOTA!
Indie (Indie);1;;;;;Indie;Indie;#HODNOTA!;#HODNOTA!
Indočína (Indie);1;;;;;Indie;Indočína;#HODNOTA!;#HODNOTA!
Innichen (Rakousko);1;;;;;Rakousko;Innichen;#HODNOTA!;#HODNOTA!
Innsbruck (Austrálie);1;;;;;Austrálie;Innsbruck;#HODNOTA!;#HODNOTA!
Interlaken (Švýcarsko);1;;;;;Švýcarsko;Interlaken;#HODNOTA!;#HODNOTA!
Inzell-Ed (Rakousko);1;;;;;Rakousko;Inzell-Ed;#HODNOTA!;#HODNOTA!
Ipswich u Londýna (Velká Británie);1;;;;;Velká Británie;Ipswich u Londýna;#HODNOTA!;#HODNOTA!
Irák (Irák);1;;;;;Irák;Irák;#HODNOTA!;#HODNOTA!
Irán (Írán);1;Írán$$7ge131735;;;;Írán;Irán;#HODNOTA!;#HODNOTA!
Irsko (Velká Británie);1;;;;;Velká Británie;Irsko;#HODNOTA!;#HODNOTA!
Iršavskij na Ukrajině (SSSR);1;;;;;SSSR;Iršavskij na Ukrajině;#HODNOTA!;#HODNOTA!
Isernhagen (Německo);1;;;;;Německo;Isernhagen;#HODNOTA!;#HODNOTA!
Iseron (Francie);1;;;;;Francie;Iseron;#HODNOTA!;#HODNOTA!
Island (Island);1;;;;;Island;Island;#HODNOTA!;#HODNOTA!
Istrie (Chorvatsko);1;;;;;Chorvatsko;Istrie;#HODNOTA!;#HODNOTA!
Itálie (Itálie);23;Itálie$$7ge129398;;;;Itálie;Itálie;#HODNOTA!;#HODNOTA!
Ivančice (Vyškov);1;;;;;Vyškov;Ivančice;#HODNOTA!;#HODNOTA!
Ivanič Grad (Jugoslávie);1;;;;;Jugoslávie;Ivanič Grad;#HODNOTA!;#HODNOTA!
Ivanovka (SSSR);1;;;;;SSSR;Ivanovka;#HODNOTA!;#HODNOTA!
Ivanovskaja (SSSR);1;;;;;SSSR;Ivanovskaja;#HODNOTA!;#HODNOTA!
Izrael (Izrael);7;Izrael$$7ge129403;;;;Izrael;Izrael;#HODNOTA!;#HODNOTA!
Jabloň (Humenné);1;;;;;Humenné;Jabloň;#HODNOTA!;#HODNOTA!
Jabloňany (Blansko);1;;;;;Blansko;Jabloňany;#HODNOTA!;#HODNOTA!
Jablonná (Příbram);1;;;;;Příbram;Jablonná;#HODNOTA!;#HODNOTA!
Jabloňov (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Jabloňov;#HODNOTA!;#HODNOTA!
Jablůnka (Vsetín);1;;;;;Vsetín;Jablůnka;#HODNOTA!;#HODNOTA!
Jaffa (Izrael);1;;;;;Izrael;Jaffa;#HODNOTA!;#HODNOTA!
Jagdhase (Opava);1;;;;;Opava;Jagdhase;#HODNOTA!;#HODNOTA!
Jagniztków (Dolní Slezsko) (Polsko);1;;;;;Dolní Slezsko;Jagniztków;#HODNOTA!;#HODNOTA!
Jagodina (Jugoslávie);1;;;;;Jugoslávie;Jagodina;#HODNOTA!;#HODNOTA!
Jakubčovice (Nový Jičín);1;;;;;Nový Jičín;Jakubčovice;#HODNOTA!;#HODNOTA!
Jalubí (Uherské Hradiště);1;;;;;Uherské Hradiště;Jalubí;#HODNOTA!;#HODNOTA!
Jamnice (Opava);1;;;;;Opava;Jamnice;#HODNOTA!;#HODNOTA!
Jamný (Písek);1;;;;;Písek;Jamný;#HODNOTA!;#HODNOTA!
Jankov (Benešov);1;;;;;Benešov;Jankov;#HODNOTA!;#HODNOTA!
Janoslavice (Šumperk);1;;;;;Šumperk;Janoslavice;#HODNOTA!;#HODNOTA!
Janov (Příbram);1;;;;;Příbram;Janov;#HODNOTA!;#HODNOTA!
Janov (SSSR);1;;;;;SSSR;Janov;#HODNOTA!;#HODNOTA!
Janov (Tábor);3;;;;;Tábor;Janov;#HODNOTA!;#HODNOTA!
Janov-Dolní Kouty (Tábor);1;;;;;Tábor;Janov-Dolní Kouty;#HODNOTA!;#HODNOTA!
Janovice (Bruntál);1;;;;;Bruntál;Janovice;#HODNOTA!;#HODNOTA!
Janovice (Česká Lípa);1;;;;;Česká Lípa;Janovice;#HODNOTA!;#HODNOTA!
Janovice (Nový Jičín);1;;;;;Nový Jičín;Janovice;#HODNOTA!;#HODNOTA!
Janovice u Starého Jičína (Nový Jičín);1;;;;;Nový Jičín;Janovice u Starého Jičína;#HODNOTA!;#HODNOTA!
Jánská (Beroun);1;;;;;Beroun;Jánská;#HODNOTA!;#HODNOTA!
Janův Důl (Liberec);1;;;;;Liberec;Janův Důl;#HODNOTA!;#HODNOTA!
Japonsko (Japonsko);2;Japonsko$$7ge129425;;;;Japonsko;Japonsko;#HODNOTA!;#HODNOTA!
Järfälla (Švédsko);1;;;;;Švédsko;Järfälla;#HODNOTA!;#HODNOTA!
Jaroměř (Český Krumlov);1;;;;;Český Krumlov;Jaroměř;#HODNOTA!;#HODNOTA!
Jasenka (Vsetín);2;;;;;Vsetín;Jasenka;#HODNOTA!;#HODNOTA!
Jasenová (Dolný Kubín);1;;;;;Dolný Kubín;Jasenová;#HODNOTA!;#HODNOTA!
Jasina (Ukrajina);1;;;;;Ukrajina;Jasina;#HODNOTA!;#HODNOTA!
Jaslovské Bohunice (Slovensko);1;;;;;Slovensko;Jaslovské Bohunice;#HODNOTA!;#HODNOTA!
Jasná Poljana (SSSR);1;;;;;SSSR;Jasná Poljana;#HODNOTA!;#HODNOTA!
Jasov (Košice);1;;;;;Košice;Jasov;#HODNOTA!;#HODNOTA!
Javornice (Hradec Králové);1;;;;;Hradec Králové;Javornice;#HODNOTA!;#HODNOTA!
Javory (Děčín);1;;;;;Děčín;Javory;#HODNOTA!;#HODNOTA!
Javoří (Karlovy Vary);1;;;;;Karlovy Vary;Javoří;#HODNOTA!;#HODNOTA!
Javoříčko (Olomouc);1;;;;;Olomouc;Javoříčko;#HODNOTA!;#HODNOTA!
Jaworzynka (Polsko);1;;;;;Polsko;Jaworzynka;#HODNOTA!;#HODNOTA!
Jažlovice (Praha - východ);1;;;;;Praha - východ;Jažlovice;#HODNOTA!;#HODNOTA!
Ječmeniště (Znojmo);1;;;;;Znojmo;Ječmeniště;#HODNOTA!;#HODNOTA!
Jedlí (Šumperk);1;;;;;Šumperk;Jedlí;#HODNOTA!;#HODNOTA!
Jedlice (České Budějovice);1;;;;;České Budějovice;Jedlice;#HODNOTA!;#HODNOTA!
Jedlová (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Jedlová;#HODNOTA!;#HODNOTA!
Jedomělice (Kladno);1;;;;;Kladno;Jedomělice;#HODNOTA!;#HODNOTA!
Jedrychowice (Polsko);1;;;;;Polsko;Jedrychowice;#HODNOTA!;#HODNOTA!
Jefferson City (USA);1;;;;;USA;Jefferson City;#HODNOTA!;#HODNOTA!
Jelabuze (Tatarská autonomní oblast) (SSSR);1;;;;;Tatarská autonomní oblast;Jelabuze;#HODNOTA!;#HODNOTA!
Jelení (Bruntál);1;;;;;Bruntál;Jelení;#HODNOTA!;#HODNOTA!
Jelizavetgrad (Ukrajina);1;;;;;Ukrajina;Jelizavetgrad;#HODNOTA!;#HODNOTA!
Jelšavská Teplice (Rožňava);1;;;;;Rožňava;Jelšavská Teplice;#HODNOTA!;#HODNOTA!
Jemnice (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Jemnice;#HODNOTA!;#HODNOTA!
Jemníky (Mladá Boleslav);1;;;;;Mladá Boleslav;Jemníky;#HODNOTA!;#HODNOTA!
Jeníkov (Chrudim);1;;;;;Chrudim;Jeníkov;#HODNOTA!;#HODNOTA!
Jeníkovice (Hradec Králové);1;;;;;Hradec Králové;Jeníkovice;#HODNOTA!;#HODNOTA!
Jenišov (Karlovy Vary);1;;;;;Karlovy Vary;Jenišov;#HODNOTA!;#HODNOTA!
Jenišův Újezd (Teplice);1;;;;;Teplice;Jenišův Újezd;#HODNOTA!;#HODNOTA!
Jerevan (SSSR);1;;;;;SSSR;Jerevan;#HODNOTA!;#HODNOTA!
Jerlochovice (Nový Jičín);1;;;;;Nový Jičín;Jerlochovice;#HODNOTA!;#HODNOTA!
Jerusalem (Izrael);1;Jeruzalém$$7ge134245;;;;Izrael;Jerusalem;#HODNOTA!;#HODNOTA!
Jeruzalém (Izrael);23;Jeruzalém$$7ge134245;;;;Izrael;Jeruzalém;#HODNOTA!;#HODNOTA!
Jeřice (Jihlava);1;;;;;Jihlava;Jeřice;#HODNOTA!;#HODNOTA!
Jesenčany (Pardubice);1;;;;;Pardubice;Jesenčany;#HODNOTA!;#HODNOTA!
Jeseníky (Šumperk);1;;;;;Šumperk;Jeseníky;#HODNOTA!;#HODNOTA!
Jeseny (Semily);1;;;;;Semily;Jeseny;#HODNOTA!;#HODNOTA!
Jestřebí (Semily);1;;;;;Semily;Jestřebí;#HODNOTA!;#HODNOTA!
Jestřebice (Benešov);1;;;;;Benešov;Jestřebice;#HODNOTA!;#HODNOTA!
Jestřebice (samota Nový Dvůr) (Mělník);1;;;;;samota Nový Dvůr;Jestřebice;#HODNOTA!;#HODNOTA!
Jetřichovice (Benešov);3;;;;;Benešov;Jetřichovice;#HODNOTA!;#HODNOTA!
Jéveros dnešní Peru (Brazílie);1;;;;;Brazílie;Jéveros dnešní Peru;#HODNOTA!;#HODNOTA!
Jeviněves (Mělník);1;;;;;Mělník;Jeviněves;#HODNOTA!;#HODNOTA!
Jevišovka (Břeclav);1;;;;;Břeclav;Jevišovka;#HODNOTA!;#HODNOTA!
Jezdovice (Jihlava);1;;;;;Jihlava;Jezdovice;#HODNOTA!;#HODNOTA!
Jezera (Pozořice-J.) (Brno venkov);2;;;;;Pozořice-J.;Jezera;#HODNOTA!;#HODNOTA!
Jezvé (Česká Lípa);1;;;;;Česká Lípa;Jezvé;#HODNOTA!;#HODNOTA!
Ježkovice (Vyškov);1;;;;;Vyškov;Ježkovice;#HODNOTA!;#HODNOTA!
Jičina (Nový Jičín);1;;;;;Nový Jičín;Jičina;#HODNOTA!;#HODNOTA!
Jilešovice (Opava);1;;;;;Opava;Jilešovice;#HODNOTA!;#HODNOTA!
Jindřichov (u Vrchlabí (Trutnov);1;;;;;u Vrchlabí (Trutnov;Jindřichov;#HODNOTA!;#HODNOTA!
Jinošice (Bystřice-J.) (Benešov);1;;;;;Bystřice-J.;Jinošice;#HODNOTA!;#HODNOTA!
Jiřice (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Jiřice;#HODNOTA!;#HODNOTA!
Jiřice (Louny);1;;;;;Louny;Jiřice;#HODNOTA!;#HODNOTA!
Jiříkov (Svitavy);1;;;;;Svitavy;Jiříkov;#HODNOTA!;#HODNOTA!
Jistebné (Polsko);1;;;;;Polsko;Jistebné;#HODNOTA!;#HODNOTA!
Jistebník (Nový Jičín);1;;;;;Nový Jičín;Jistebník;#HODNOTA!;#HODNOTA!
Jizerní Vtelno (Mladá Boleslav);1;;;;;Mladá Boleslav;Jizerní Vtelno;#HODNOTA!;#HODNOTA!
Jižní Dakota (USA);1;;;;;USA;Jižní Dakota;#HODNOTA!;#HODNOTA!
Johanka (Pelhřimov);1;;;;;Pelhřimov;Johanka;#HODNOTA!;#HODNOTA!
Johannesburg (Jihoafrická republ.);1;;;;;Jihoafrická republ.;Johannesburg;#HODNOTA!;#HODNOTA!
Johannisberg (Německo);1;;;;;Německo;Johannisberg;#HODNOTA!;#HODNOTA!
Johnson City (USA);1;;;;;USA;Johnson City;#HODNOTA!;#HODNOTA!
Jokohama (Japonsko);1;;;;;Japonsko;Jokohama;#HODNOTA!;#HODNOTA!
Jörlunde (Dánsko);1;;;;;Dánsko;Jörlunde;#HODNOTA!;#HODNOTA!
Juan-les-Pins (Francie);1;;;;;Francie;Juan-les-Pins;#HODNOTA!;#HODNOTA!
Jugoslávie (Jugoslávie);7;Jugoslávie$$7ge129499;;;;Jugoslávie;Jugoslávie;#HODNOTA!;#HODNOTA!
Kac (Jugoslávie);1;;;;;Jugoslávie;Kac;#HODNOTA!;#HODNOTA!
Kacákova Lhota (Jičín);1;;;;;Jičín;Kacákova Lhota;#HODNOTA!;#HODNOTA!
Kacanovy (Semily);1;;;;;Semily;Kacanovy;#HODNOTA!;#HODNOTA!
Kaceřov (Sokolov);1;;;;;Sokolov;Kaceřov;#HODNOTA!;#HODNOTA!
Kácov (Hradec Králové);1;;;;;Hradec Králové;Kácov;#HODNOTA!;#HODNOTA!
Kačer (Rychnov nad Kněžnou);1;;;;;Rychnov nad Kněžnou;Kačer;#HODNOTA!;#HODNOTA!
Kadeřavec (Semily);1;;;;;Semily;Kadeřavec;#HODNOTA!;#HODNOTA!
Kainach (Rakousko);1;;;;;Rakousko;Kainach;#HODNOTA!;#HODNOTA!
Kalicz (Polsko);2;;;;;Polsko;Kalicz;#HODNOTA!;#HODNOTA!
Kalifornie (USA);10;Kalifornie$$7ge134103;;;;USA;Kalifornie;#HODNOTA!;#HODNOTA!
Kaliště (Praha - východ);3;;;;;Praha - východ;Kaliště;#HODNOTA!;#HODNOTA!
Kaliště (Příbram);1;;;;;Příbram;Kaliště;#HODNOTA!;#HODNOTA!
Kalksburg u Vídně (Rakousko);1;;;;;Rakousko;Kalksburg u Vídně;#HODNOTA!;#HODNOTA!
Kaltenleutgeben (Rakousko);1;;;;;Rakousko;Kaltenleutgeben;#HODNOTA!;#HODNOTA!
Kam´janeć Podiľśkyj (SSSR);2;;;;;SSSR;Kam´janeć Podiľśkyj;#HODNOTA!;#HODNOTA!
Kameeldrift (Jihoafrická republ.);1;;;;;Jihoafrická republ.;Kameeldrift;#HODNOTA!;#HODNOTA!
Kamenec, v dalších letech součást Jilové (Děčín);1;;;;;Děčín;Kamenec, v dalších letech součást Jilové;#HODNOTA!;#HODNOTA!
Kamenická Nová Víska (Děčín);1;;;;;Děčín;Kamenická Nová Víska;#HODNOTA!;#HODNOTA!
Kamenický Šenov (Česká Lípa);1;;;;;Česká Lípa;Kamenický Šenov;#HODNOTA!;#HODNOTA!
Kameničky (Chrudim);1;;;;;Chrudim;Kameničky;#HODNOTA!;#HODNOTA!
Kamenná (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Kamenná;#HODNOTA!;#HODNOTA!
Kamenná Lhota (Kutná Hora);1;;;;;Kutná Hora;Kamenná Lhota;#HODNOTA!;#HODNOTA!
Kamenná Voda (Most);1;;;;;Most;Kamenná Voda;#HODNOTA!;#HODNOTA!
Kamenné Vysoké v dalších letech Kamenná (Příbram);1;;;;;Příbram;Kamenné Vysoké v dalších letech Kamenná;#HODNOTA!;#HODNOTA!
Kamenný Malíkov (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Kamenný Malíkov;#HODNOTA!;#HODNOTA!
Kamenný Újezd (Rokycany);1;;;;;Rokycany;Kamenný Újezd;#HODNOTA!;#HODNOTA!
Kamensk (SSSR);1;;;;;SSSR;Kamensk;#HODNOTA!;#HODNOTA!
Kamenský Dvůr osada obce Kopidlno (Jičín);1;;;;;Jičín;Kamenský Dvůr osada obce Kopidlno;#HODNOTA!;#HODNOTA!
Kamenz (Polsko);1;;;;;Polsko;Kamenz;#HODNOTA!;#HODNOTA!
Kamerun (Kamerun);1;;;;;Kamerun;Kamerun;#HODNOTA!;#HODNOTA!
Kaminsk (Polsko);1;;;;;Polsko;Kaminsk;#HODNOTA!;#HODNOTA!
Kamiňská (SSSR);1;;;;;SSSR;Kamiňská;#HODNOTA!;#HODNOTA!
Kanada (Kanada);15;Kanada$$7ge129527;;;;Kanada;Kanada;#HODNOTA!;#HODNOTA!
Kanada asi (Kanada);1;Kanada$$7ge129527;;;;Kanada;Kanada asi;#HODNOTA!;#HODNOTA!
Kanagawa (Japonsko);1;;;;;Japonsko;Kanagawa;#HODNOTA!;#HODNOTA!
Kanecy (Německo);1;;;;;Německo;Kanecy;#HODNOTA!;#HODNOTA!
Kaňovice (Zlín);1;;;;;Zlín;Kaňovice;#HODNOTA!;#HODNOTA!
Kapely u Březice (Jugoslávie);1;;;;;Jugoslávie;Kapely u Březice;#HODNOTA!;#HODNOTA!
Kaproun (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Kaproun;#HODNOTA!;#HODNOTA!
Karle (Svitavy);1;;;;;Svitavy;Karle;#HODNOTA!;#HODNOTA!
Karlov (Semily);1;;;;;Semily;Karlov;#HODNOTA!;#HODNOTA!
Karlovac (Chorvatsko);1;;;;;Chorvatsko;Karlovac;#HODNOTA!;#HODNOTA!
Karlovice (Kroměříž);1;;;;;Kroměříž;Karlovice;#HODNOTA!;#HODNOTA!
Karlovice (Plzeň sever);1;;;;;Plzeň sever;Karlovice;#HODNOTA!;#HODNOTA!
Karlovský Bělehrad (Maďarsko);1;;;;;Maďarsko;Karlovský Bělehrad;#HODNOTA!;#HODNOTA!
Karlsburg (Rakousko);1;;;;;Rakousko;Karlsburg;#HODNOTA!;#HODNOTA!
Karlshütte (u Frýdku) (Frýdek Místek);1;;;;;u Frýdku;Karlshütte;#HODNOTA!;#HODNOTA!
Karlův Bělehrad (Rumunsko);1;;;;;Rumunsko;Karlův Bělehrad;#HODNOTA!;#HODNOTA!
Karolín (Kroměříž);1;;;;;Kroměříž;Karolín;#HODNOTA!;#HODNOTA!
Karpentná (Frýdek Místek);1;;;;;Frýdek Místek;Karpentná;#HODNOTA!;#HODNOTA!
Kartouzy (Jičín);1;;;;;Jičín;Kartouzy;#HODNOTA!;#HODNOTA!
Kasanice (Kutná Hora);1;;;;;Kutná Hora;Kasanice;#HODNOTA!;#HODNOTA!
Kasten (Rakousko);1;;;;;Rakousko;Kasten;#HODNOTA!;#HODNOTA!
Kašava (Zlín);1;;;;;Zlín;Kašava;#HODNOTA!;#HODNOTA!
Kašnice (Břeclav);1;;;;;Břeclav;Kašnice;#HODNOTA!;#HODNOTA!
