19|Mezinárodní symposium o próze (sympozium) (1963 : Praha, Česko) OPRAVA UCL|$$aMezinárodní symposium o próze (sympozium)$$d(1963 :$$cPraha, Česko)|61124
19|Magnesia Litera (literární soutěž) OPRAVA UCL|$$aMagnesia Litera (akce)$$7ko2007396129|61127
19|Literární cena Knižního klubu|$$aLiterární cena Knižního klubu (soutěž)|61124
19|Cena Ason-klubu|$$aCena Ason-klubu (soutěž)|61124
18|Pragmatika vyjadrovacích prostriedkov umenia (konference) (2000 : Nitra, Slovensko) OPRAVA UCL|$$aPragmatika vyjadrovacích prostriedkov umenia (konference)$$d(2000 :$$cNitra, Slovensko)|61124
18|Květnová knižní Plzeň OPRAVA UCL|$$aKvětnová knižní Plzeň (výstava)$$7kn20110725008|61027
17|Svět knihy (veletrh) (2017 : Praha, Česko)|$$aSvět knihy (veletrh)$$d(2017 :$$cPraha, Česko)$$7ko2017956995|61127
17|Svět knihy (veletrh) (2011 : Praha, Česko) OPRAVA UCL|$$aSvět knihy (veletrh)$$d(2011 :$$cPraha, Česko)$$7kn20110325006|61127
17|Přínos Zdeňka Nejedlého české a slovenské kultuře (mezinárodní konference) (1978 : Liblice, Česko) OPRAVA UCL|$$aPřínos Zdeňka Nejedlého české a slovenské kultuře (konference)$$d(1978 :$$cLiblice, Česko)|61124
17|Podzimní knižní trh (Havlíčkův Brod, Česko) OPRAVA UCL|$$aPodzimní knižní trh$$7olak2002158662|61127
17|Magnesia Litera (akce) (2017 : Praha, Česko)|$$aMagnesia Litera (akce)$$d(2017 :$$cPraha, Česko)$$7av2018995587|61127
17|Cena Marie Majerové|$$aCena Marie Majerové (soutěž)|61124
17|Cena Františka Langera OPRAVA UCL|$$aCena Františka Langera (soutěž)|61124
17|Cena Alfréda Radoka OPRAVA UCL|$$aCena Alfréda Radoka (akce)$$7xx0160140|61127
16|Zasedání edičně textologické komise (1966 : Praha, Česko) OPRAVA UCL|$$aZasedání edičně textologické komise$$d(1966 :$$cPraha : Česko)|61124
16|Wolkrova Polianka OPRAVA UCL|$$aWolkrova Polianka (soutěž)|61124
16|Komenský a svět dítěte (6. uherskobrodské kolokvium) (1979 : Uherský Brod, Česko)|$$aKomenský a svět dítěte (kolokvium)$$d(1979 :$$cUherský Brod, Česko)|61124
16|Dny české a slovenské poezie OPRAVA UCL|$$aDny české a slovenské poezie (akce)|61124
16|Cena Nadace Český literární fond|$$aCena Nadace Český literární fond (ocenění)|61124
16|Cena F.X. Šaldy|$$aCena F. X. Šaldy (ocenění)|61124
16|Cena Erasma Rotterdamského|$$aCena Erasma Rotterdamského (ocenění)|61124
15|Mezinárodní sjezd slavistů (sjezd) (1968 : Praha, Česko) OPRAVA UCL|$$aMezinárodní sjezd slavistů$$n(6. :$$d1968 :$$cPraha, Česko)$$7kn20051122009|61127
15|Drážďanská cena lyriky|$$aDrážďanská cena lyriky (ocenění)|61124
15|Cena Vladimíra Macury|$$aCena Vladimíra Macury (ocenění)|61124
15|Cena Leopolda Vrly|$$aCena Leopolda Vrly (ocenění)|61124
